Ocean basin and water mass (along density surfaces; see text),calendar age bin (years BP),binned mean (all samples),binned standard deviation (all samples),n (all samples),binned mean (no outliers),binned standard deviation (no outliers),n (no outliers),loess_fit,loess_upr95,loess_lwr95,loess_upr68,loess_lwr68,loess_se
PACIFIC BOTTOM,24250,75.87681923,61.61018666,2,75.87681923,61.61018666,2,66.81429461,143.6343486,-13.78997923,90.12434563,46.70058233,43.56498078
PACIFIC BOTTOM,24750,110.771355,196.5728203,2,110.771355,196.5728203,2,83.1254551,162.5169253,-2.563470381,108.0544218,60.40755421,138.9979742
PACIFIC BOTTOM,25250,-12.17917393,99.68526481,5,-12.17917393,99.68526481,5,100.6240118,200.4715796,6.447770276,125.7025101,74.72635295,44.58060569
PACIFIC BOTTOM,25750,273.9351647,129.4535311,3,273.9351647,129.4535311,3,119.0325909,243.5888827,-1.782704916,151.2168198,85.88053663,74.74003102
PACIFIC BOTTOM,26250,NA,NA,0,NA,NA,0,131.2984052,295.8428705,-23.04109989,174.9581471,90.79531929,NA
PACIFIC BOTTOM,26750,177.6460021,419.8501335,2,177.6460021,419.8501335,2,142.6065217,357.9796148,-42.9733303,193.591002,87.72015428,296.8788765
PACIFIC MID,250,-207.3734255,16.9488574,2,-207.3734255,16.9488574,2,-217.3995137,-162.6219701,-271.5931503,-201.619308,-233.9206841,11.984652
PACIFIC MID,750,-205.5914345,10.99909315,2,-205.5914345,10.99909315,2,-213.85548,-161.9460727,-264.1530219,-200.9851369,-229.6976234,7.77753335
PACIFIC MID,1250,NA,NA,0,NA,NA,0,-208.7990884,-161.3328448,-255.1077199,-196.3499848,-220.9342583,NA
PACIFIC MID,1750,NA,NA,0,NA,NA,0,-203.5593197,-165.6768182,-242.0454526,-193.4319891,-213.198716,NA
PACIFIC MID,2250,-212.6095621,27.30057611,2,-212.6095621,27.30057611,2,-196.9041901,-161.5227134,-230.2542645,-187.8959529,-206.27757,19.3044225
PACIFIC MID,2750,-201.3794325,28.44410081,6,-201.3794325,28.44410081,6,-192.3067208,-160.4553808,-223.7150183,-184.6885275,-201.248458,11.61225553
PACIFIC MID,3250,NA,NA,0,NA,NA,0,-186.7348947,-156.4473015,-215.6978443,-177.4096631,-195.2986434,NA
PACIFIC MID,3750,-168.6130018,19.78685452,3,-168.6130018,19.78685452,3,-179.3186863,-150.8794911,-209.6432046,-171.5862444,-187.2149204,11.42394578
PACIFIC MID,4250,NA,NA,0,NA,NA,0,-172.0825001,-142.2516635,-202.9316532,-162.6746248,-180.3879053,NA
PACIFIC MID,4750,-198.1561165,11.06520302,3,-198.1561165,11.06520302,3,-167.1566866,-133.4639665,-198.1994805,-158.5299047,-176.432301,6.388497943
